order_id,order_date,product,category,region,city,customer_segment,unit_price,quantity,sales,profit
ORD100000,2024-12-26,SmartWatch S,Wearables,West,Mumbai,Consumer,34441.73,1,34441.73,10957.44
ORD100001,2024-12-12,FitnessBand,Wearables,Central,Bhopal,Corporate,23034.92,1,23034.92,8572.05
ORD100002,2023-02-04,GammaBook,Laptops,East,Kolkata,Home Office,51913.24,1,51913.24,21487.58
ORD100003,2024-12-03,HomeSpeaker,Audio,Central,Bhopal,Consumer,3618.64,2,7237.28,1112.48
ORD100004,2023-07-17,AlphaPhone X,Phones,Central,Indore,Home Office,37008.32,1,37008.32,13257.29
ORD100005,2024-06-23,CameraPro,Cameras,East,Kolkata,Consumer,35424.51,1,35424.51,15039.31
ORD100006,2024-12-02,BetaPad Pro,Tablets,Central,Nagpur,Corporate,58389.57,1,58389.57,15749.37
ORD100007,2023-06-22,SmartWatch S,Wearables,East,Patna,Small Business,36562.48,3,109687.44,21294.23
ORD100008,2024-03-01,HomeSpeaker,Audio,Central,Nagpur,Corporate,7158.89,1,7158.89,2219.06
ORD100009,2023-03-12,CameraPro,Cameras,South,Mysuru,Small Business,38184.95,1,38184.95,9829.38
ORD100010,2024-12-24,HomeSpeaker,Audio,North,Chandigarh,Home Office,13765.35,1,13765.35,2086.15
ORD100011,2024-02-14,SmartWatch S,Wearables,South,Hyderabad,Small Business,2156.8,1,2156.8,923.81
ORD100012,2023-06-17,BetaPad Pro,Tablets,West,Mumbai,Consumer,53125.71,1,53125.71,17476.89
ORD100013,2023-03-24,CameraPro,Cameras,Central,Bhopal,Small Business,70395.91,1,70395.91,23872.35
ORD100014,2024-01-22,SmartWatch S,Wearables,East,Patna,Home Office,6208.09,1,6208.09,2618.48
ORD100015,2024-05-27,SmartWatch S,Wearables,West,Pune,Consumer,6495.64,1,6495.64,2289.57
ORD100016,2024-11-11,AlphaPhone 11,Phones,East,Bhubaneswar,Small Business,17756.44,1,17756.44,4041.39
ORD100017,2023-11-04,DroneX,Drones,Central,Bhopal,Corporate,42149.35,1,42149.35,12059.95
ORD100018,2024-07-12,CameraPro,Cameras,South,Hyderabad,Small Business,55308.48,1,55308.48,16963.36
ORD100019,2023-09-24,AlphaPhone X,Phones,South,Mysuru,Small Business,13241.6,1,13241.6,5791.52
ORD100020,2024-05-08,FitnessBand,Wearables,South,Mysuru,Corporate,2894.81,1,2894.81,675.71
ORD100021,2023-10-15,AlphaPhone X,Phones,West,Mumbai,Corporate,16894.15,1,16894.15,2727.15
ORD100022,2024-06-19,HomeSpeaker,Audio,North,Chandigarh,Small Business,3230.53,1,3230.53,1084.79
ORD100023,2024-02-01,FitnessBand,Wearables,South,Mysuru,Corporate,23018.62,1,23018.62,4663.5
ORD100024,2024-04-13,AlphaPhone X,Phones,West,Goa,Small Business,17777.38,1,17777.38,7107.41
ORD100025,2024-07-29,AlphaPhone 11,Phones,East,Bhubaneswar,Consumer,28058.54,1,28058.54,6326.35
ORD100026,2023-08-16,CameraPro,Cameras,West,Goa,Corporate,32090.37,1,32090.37,10971.81
ORD100027,2024-09-29,CameraPro,Cameras,West,Pune,Small Business,62144.14,2,124288.28,54588.96
ORD100028,2023-12-16,CameraPro,Cameras,South,Chennai,Corporate,35727.28,1,35727.28,10033.04
ORD100029,2024-03-23,HomeSpeaker,Audio,West,Mumbai,Small Business,236.3,1,236.3,71.2
ORD100030,2023-11-09,SmartWatch S,Wearables,West,Mumbai,Small Business,20078.58,1,20078.58,4717.03
ORD100031,2023-06-27,4KTV,TVs,South,Bengaluru,Home Office,47340.67,1,47340.67,15830.38
ORD100032,2024-08-15,FitnessBand,Wearables,North,Delhi,Corporate,9858.76,1,9858.76,4018.72
ORD100033,2023-12-02,AlphaPhone X,Phones,North,Delhi,Consumer,60503.32,2,121006.64,33859.02
ORD100034,2023-02-16,4KTV,TVs,East,Kolkata,Home Office,70557.44,1,70557.44,28476.46
ORD100035,2024-03-15,SmartWatch S,Wearables,Central,Bhopal,Small Business,686.59,3,2059.77,556.32
ORD100036,2024-01-31,4KTV,TVs,North,Delhi,Consumer,56652.12,1,56652.12,21501.31
ORD100037,2023-10-08,AlphaPhone X,Phones,West,Pune,Corporate,25502.58,1,25502.58,7218.28
ORD100038,2024-06-11,SmartWatch S,Wearables,Central,Nagpur,Small Business,1317.02,1,1317.02,202.69
ORD100039,2023-04-16,HomeSpeaker,Audio,Central,Nagpur,Consumer,3131.51,1,3131.51,1373.48
ORD100040,2024-11-28,BetaPad Pro,Tablets,Central,Indore,Corporate,56537.52,1,56537.52,9190.26
ORD100041,2023-03-01,BetaPad Pro,Tablets,West,Mumbai,Home Office,19789.33,1,19789.33,4933.17
ORD100042,2024-01-14,CameraPro,Cameras,South,Hyderabad,Home Office,55385.25,2,110770.5,23937.58
ORD100043,2024-06-05,BetaPad Pro,Tablets,West,Goa,Consumer,7853.05,1,7853.05,1522.93
ORD100044,2023-07-04,GammaBook,Laptops,East,Bhubaneswar,Home Office,84939.75,1,84939.75,34897.58
ORD100045,2023-07-30,GammaBook,Laptops,South,Bengaluru,Home Office,72256.6,1,72256.6,14046.18
ORD100046,2024-07-02,CameraPro,Cameras,East,Kolkata,Small Business,43639.89,3,130919.67,30086.51
ORD100047,2024-08-12,CameraPro,Cameras,West,Mumbai,Consumer,64727.21,1,64727.21,18401.74
ORD100048,2023-07-17,GammaBook,Laptops,West,Mumbai,Consumer,50537.93,1,50537.93,11789.41
ORD100049,2023-09-01,GammaBook,Laptops,North,Jaipur,Small Business,68983.41,1,68983.41,14589.52
ORD100050,2023-04-19,AlphaPhone 11,Phones,Central,Indore,Consumer,54790.45,1,54790.45,16779.92
ORD100051,2024-12-05,4KTV,TVs,North,Jaipur,Corporate,64198.81,1,64198.81,14469.66
ORD100052,2024-06-16,BetaPad Pro,Tablets,West,Mumbai,Corporate,32278.57,1,32278.57,7345.97
ORD100053,2024-08-15,GammaBook,Laptops,Central,Bhopal,Small Business,75790.6,1,75790.6,13535.06
ORD100054,2024-06-20,AlphaPhone 11,Phones,Central,Bhopal,Home Office,5288.16,1,5288.16,1379.99
ORD100055,2023-08-12,BetaPad Pro,Tablets,East,Bhubaneswar,Small Business,43214.13,1,43214.13,14701.64
ORD100056,2024-01-26,GammaBook,Laptops,South,Chennai,Home Office,57112.14,1,57112.14,25632.45
ORD100057,2023-02-22,BetaPad Pro,Tablets,North,Jaipur,Consumer,41912.42,1,41912.42,10604.44
ORD100058,2023-01-24,HomeSpeaker,Audio,West,Mumbai,Small Business,23294.57,1,23294.57,9613.48
ORD100059,2023-02-22,GammaBook,Laptops,Central,Indore,Consumer,60663.64,1,60663.64,25830.19
ORD100060,2024-04-27,FitnessBand,Wearables,North,Delhi,Corporate,23930.26,1,23930.26,10494.41
ORD100061,2023-09-20,GammaBook,Laptops,North,Jaipur,Corporate,80010.34,1,80010.34,18284.39
ORD100062,2024-07-19,BetaPad Pro,Tablets,West,Goa,Small Business,22507.19,1,22507.19,6925.23
ORD100063,2024-12-26,SmartWatch S,Wearables,South,Chennai,Consumer,31919.69,1,31919.69,13340.07
ORD100064,2024-11-24,4KTV,TVs,North,Jaipur,Consumer,29081.1,1,29081.1,10267.95
ORD100065,2024-03-26,AlphaPhone 11,Phones,North,Jaipur,Small Business,41300.4,1,41300.4,17662.76
ORD100066,2023-05-04,FitnessBand,Wearables,East,Patna,Corporate,11328.33,1,11328.33,5032.16
ORD100067,2023-04-21,FitnessBand,Wearables,West,Mumbai,Corporate,2539.17,1,2539.17,1108.81
ORD100068,2023-12-07,GammaBook,Laptops,Central,Indore,Small Business,54968.97,1,54968.97,20948.95
ORD100069,2023-08-18,BetaPad Pro,Tablets,East,Kolkata,Corporate,7303.46,1,7303.46,1799.0
ORD100070,2023-06-03,AlphaPhone X,Phones,North,Delhi,Corporate,44863.46,1,44863.46,12160.31
ORD100071,2023-11-02,HomeSpeaker,Audio,South,Hyderabad,Consumer,3845.0,1,3845.0,834.28
ORD100072,2023-06-04,GammaBook,Laptops,South,Hyderabad,Consumer,79381.68,1,79381.68,20629.2
ORD100073,2023-02-24,AlphaPhone X,Phones,Central,Indore,Corporate,44452.13,1,44452.13,14834.77
ORD100074,2023-03-18,FitnessBand,Wearables,North,Delhi,Consumer,21569.15,1,21569.15,7955.43
ORD100075,2024-02-16,4KTV,TVs,West,Mumbai,Home Office,41932.12,1,41932.12,10856.57
ORD100076,2023-08-19,HomeSpeaker,Audio,North,Delhi,Small Business,33950.27,2,67900.54,28246.78
ORD100077,2024-07-07,4KTV,TVs,Central,Bhopal,Consumer,30152.93,1,30152.93,6560.03
ORD100078,2023-06-18,AlphaPhone 11,Phones,North,Jaipur,Home Office,40666.35,1,40666.35,16386.44
ORD100079,2024-10-10,FitnessBand,Wearables,East,Bhubaneswar,Home Office,29253.68,1,29253.68,5704.72
ORD100080,2024-11-09,SmartWatch S,Wearables,South,Hyderabad,Corporate,27536.42,1,27536.42,11518.8
ORD100081,2023-03-09,GammaBook,Laptops,East,Patna,Consumer,55868.0,1,55868.0,21520.55
ORD100082,2024-04-01,BetaPad Pro,Tablets,North,Jaipur,Small Business,22363.39,1,22363.39,6556.75
ORD100083,2024-03-28,AlphaPhone 11,Phones,Central,Indore,Consumer,39165.84,1,39165.84,11213.33
ORD100084,2023-02-16,HomeSpeaker,Audio,East,Kolkata,Corporate,18354.76,1,18354.76,3540.43
ORD100085,2023-05-20,4KTV,TVs,East,Bhubaneswar,Corporate,29811.95,1,29811.95,4710.64
ORD100086,2024-06-05,4KTV,TVs,South,Chennai,Consumer,35166.78,1,35166.78,13714.26
ORD100087,2023-08-05,GammaBook,Laptops,North,Jaipur,Corporate,71761.13,1,71761.13,30151.93
ORD100088,2023-09-15,GammaBook,Laptops,West,Mumbai,Small Business,69652.41,1,69652.41,15194.24
ORD100089,2023-05-25,4KTV,TVs,Central,Nagpur,Consumer,41571.77,3,124715.31,19670.65
ORD100090,2023-04-13,FitnessBand,Wearables,West,Goa,Consumer,16876.44,1,16876.44,7143.98
ORD100091,2024-04-09,BetaPad Pro,Tablets,North,Jaipur,Small Business,51457.92,1,51457.92,19537.81
ORD100092,2024-02-20,AlphaPhone 11,Phones,South,Mysuru,Small Business,52901.43,3,158704.29,39156.6
ORD100093,2024-07-21,FitnessBand,Wearables,West,Goa,Corporate,28395.23,1,28395.23,5719.2
ORD100094,2024-07-03,BetaPad Pro,Tablets,East,Patna,Home Office,11817.76,1,11817.76,4656.74
ORD100095,2023-08-04,SmartWatch S,Wearables,East,Kolkata,Corporate,15651.17,1,15651.17,7040.86
ORD100096,2023-06-28,GammaBook,Laptops,West,Pune,Corporate,99600.08,1,99600.08,21123.92
ORD100097,2023-01-24,HomeSpeaker,Audio,East,Kolkata,Corporate,1554.1,2,3108.2,761.81
ORD100098,2024-07-22,DroneX,Drones,West,Pune,Home Office,60476.47,1,60476.47,20684.47
ORD100099,2024-12-12,4KTV,TVs,East,Kolkata,Consumer,10426.36,1,10426.36,4149.63
ORD100100,2024-09-19,DroneX,Drones,North,Jaipur,Small Business,32794.53,1,32794.53,13348.57
ORD100101,2023-02-15,DroneX,Drones,West,Mumbai,Small Business,39305.1,1,39305.1,12027.2
ORD100102,2024-10-25,HomeSpeaker,Audio,South,Chennai,Corporate,28538.08,1,28538.08,9184.37
ORD100103,2023-01-26,GammaBook,Laptops,Central,Bhopal,Consumer,88446.73,1,88446.73,36045.53
ORD100104,2023-05-07,HomeSpeaker,Audio,South,Bengaluru,Small Business,33539.86,1,33539.86,8651.02
ORD100105,2023-12-28,4KTV,TVs,East,Kolkata,Home Office,24146.73,1,24146.73,7205.78
ORD100106,2023-09-16,CameraPro,Cameras,East,Patna,Corporate,38439.63,1,38439.63,9625.63
ORD100107,2023-05-27,AlphaPhone 11,Phones,South,Mysuru,Home Office,24542.07,2,49084.14,16204.86
ORD100108,2023-07-19,GammaBook,Laptops,East,Kolkata,Corporate,70832.23,1,70832.23,23466.62
ORD100109,2023-10-18,4KTV,TVs,South,Chennai,Consumer,23576.87,1,23576.87,6688.53
ORD100110,2024-03-17,AlphaPhone 11,Phones,Central,Indore,Consumer,46788.72,1,46788.72,7934.79
ORD100111,2024-07-09,AlphaPhone X,Phones,West,Goa,Consumer,51606.43,1,51606.43,11896.4
ORD100112,2024-10-25,HomeSpeaker,Audio,East,Kolkata,Home Office,658.13,1,658.13,146.34
ORD100113,2024-06-17,CameraPro,Cameras,Central,Indore,Home Office,13241.71,1,13241.71,5319.65
ORD100114,2023-07-11,CameraPro,Cameras,South,Hyderabad,Home Office,52353.94,1,52353.94,14000.98
ORD100115,2023-09-08,FitnessBand,Wearables,East,Bhubaneswar,Small Business,8202.96,1,8202.96,1688.13
ORD100116,2023-08-21,FitnessBand,Wearables,North,Delhi,Home Office,1127.25,1,1127.25,175.06
ORD100117,2023-04-08,CameraPro,Cameras,East,Patna,Corporate,24655.08,1,24655.08,10405.15
ORD100118,2023-07-12,FitnessBand,Wearables,East,Kolkata,Small Business,1470.61,1,1470.61,333.9
ORD100119,2023-05-14,GammaBook,Laptops,Central,Nagpur,Consumer,77487.22,1,77487.22,19849.79
ORD100120,2024-02-01,CameraPro,Cameras,North,Jaipur,Home Office,45127.19,1,45127.19,19791.83
ORD100121,2023-02-02,GammaBook,Laptops,North,Chandigarh,Corporate,68436.77,1,68436.77,13117.72
ORD100122,2023-07-05,HomeSpeaker,Audio,West,Pune,Corporate,27514.4,1,27514.4,4381.19
ORD100123,2023-11-02,4KTV,TVs,West,Mumbai,Small Business,29029.69,1,29029.69,10523.05
ORD100124,2024-01-11,FitnessBand,Wearables,West,Pune,Consumer,2599.88,1,2599.88,463.89
ORD100125,2024-10-18,BetaPad Pro,Tablets,East,Patna,Corporate,17684.08,1,17684.08,5456.11
ORD100126,2023-03-20,HomeSpeaker,Audio,South,Bengaluru,Consumer,12269.64,1,12269.64,4128.12
ORD100127,2023-11-03,AlphaPhone 11,Phones,West,Pune,Consumer,16339.34,1,16339.34,4410.11
ORD100128,2023-05-30,GammaBook,Laptops,West,Pune,Home Office,76382.1,1,76382.1,15331.04
ORD100129,2024-01-20,HomeSpeaker,Audio,Central,Bhopal,Home Office,12423.7,1,12423.7,3360.76
ORD100130,2024-03-11,4KTV,TVs,West,Mumbai,Home Office,26937.82,1,26937.82,7023.49
ORD100131,2024-01-14,4KTV,TVs,South,Hyderabad,Small Business,38995.52,1,38995.52,13951.78
ORD100132,2024-12-20,SmartWatch S,Wearables,South,Mysuru,Small Business,17462.67,3,52388.01,9682.46
ORD100133,2024-12-23,HomeSpeaker,Audio,Central,Indore,Home Office,11009.59,1,11009.59,3911.62
ORD100134,2023-10-19,CameraPro,Cameras,Central,Indore,Corporate,62383.34,1,62383.34,16169.09
ORD100135,2023-09-19,DroneX,Drones,North,Chandigarh,Home Office,36491.27,1,36491.27,7955.05
ORD100136,2023-10-02,DroneX,Drones,West,Pune,Home Office,50262.69,1,50262.69,19188.71
ORD100137,2023-12-26,FitnessBand,Wearables,Central,Nagpur,Corporate,6483.81,1,6483.81,1747.07
ORD100138,2023-11-04,4KTV,TVs,North,Jaipur,Home Office,36872.93,1,36872.93,15872.05
ORD100139,2024-01-27,DroneX,Drones,South,Chennai,Consumer,30986.7,1,30986.7,9369.34
ORD100140,2024-03-18,GammaBook,Laptops,North,Jaipur,Corporate,65512.08,1,65512.08,12629.69
ORD100141,2023-11-22,AlphaPhone X,Phones,East,Kolkata,Consumer,65082.17,1,65082.17,22735.27
ORD100142,2023-10-18,GammaBook,Laptops,Central,Indore,Home Office,61407.87,1,61407.87,25907.43
ORD100143,2023-01-16,GammaBook,Laptops,Central,Bhopal,Corporate,58873.95,1,58873.95,26352.54
ORD100144,2024-08-31,FitnessBand,Wearables,East,Patna,Small Business,2628.12,2,5256.24,965.62
ORD100145,2024-03-15,DroneX,Drones,West,Goa,Small Business,49108.58,1,49108.58,9595.84
ORD100146,2024-04-19,CameraPro,Cameras,Central,Bhopal,Corporate,20479.65,1,20479.65,6620.34
ORD100147,2023-06-03,HomeSpeaker,Audio,Central,Nagpur,Consumer,23718.92,1,23718.92,4322.67
ORD100148,2024-07-06,FitnessBand,Wearables,East,Kolkata,Consumer,37216.96,1,37216.96,6700.11
ORD100149,2023-05-22,DroneX,Drones,North,Delhi,Consumer,67706.97,1,67706.97,12874.3
ORD100150,2023-12-05,4KTV,TVs,North,Jaipur,Consumer,27656.07,1,27656.07,6114.06
ORD100151,2023-02-19,HomeSpeaker,Audio,Central,Nagpur,Corporate,31924.64,1,31924.64,7640.42
ORD100152,2024-05-30,BetaPad Pro,Tablets,South,Chennai,Corporate,42920.08,1,42920.08,12542.48
ORD100153,2023-01-08,AlphaPhone 11,Phones,Central,Nagpur,Small Business,34498.65,1,34498.65,11474.07
ORD100154,2024-02-14,FitnessBand,Wearables,Central,Bhopal,Consumer,9430.67,1,9430.67,2200.59
ORD100155,2023-06-05,AlphaPhone 11,Phones,South,Bengaluru,Consumer,18572.09,1,18572.09,2987.7
ORD100156,2023-01-26,BetaPad Pro,Tablets,South,Mysuru,Small Business,43766.3,2,87532.6,37860.63
ORD100157,2024-01-16,DroneX,Drones,West,Mumbai,Home Office,44258.45,1,44258.45,14835.94
ORD100158,2024-02-03,4KTV,TVs,West,Mumbai,Home Office,55291.11,1,55291.11,9635.64
ORD100159,2024-08-27,BetaPad Pro,Tablets,North,Chandigarh,Small Business,28565.92,1,28565.92,9977.45
ORD100160,2023-05-14,CameraPro,Cameras,East,Kolkata,Home Office,38580.34,3,115741.02,48970.64
ORD100161,2023-08-27,HomeSpeaker,Audio,East,Bhubaneswar,Small Business,784.23,1,784.23,319.67
ORD100162,2023-12-05,DroneX,Drones,South,Chennai,Consumer,53388.31,1,53388.31,20435.05
ORD100163,2023-10-10,CameraPro,Cameras,North,Delhi,Small Business,72398.3,1,72398.3,15052.9
ORD100164,2023-08-16,BetaPad Pro,Tablets,East,Bhubaneswar,Small Business,45038.96,1,45038.96,17381.16
ORD100165,2023-01-19,SmartWatch S,Wearables,East,Bhubaneswar,Consumer,18375.51,1,18375.51,7137.41
ORD100166,2024-06-28,CameraPro,Cameras,North,Delhi,Small Business,63080.29,1,63080.29,22836.76
ORD100167,2024-05-02,FitnessBand,Wearables,East,Bhubaneswar,Consumer,35484.99,1,35484.99,14388.52
ORD100168,2024-03-08,SmartWatch S,Wearables,Central,Indore,Small Business,4042.9,2,8085.8,1571.25
ORD100169,2023-03-30,4KTV,TVs,South,Bengaluru,Small Business,65562.75,1,65562.75,26856.04
ORD100170,2024-11-29,4KTV,TVs,East,Bhubaneswar,Home Office,45649.42,1,45649.42,17699.03
ORD100171,2023-11-22,CameraPro,Cameras,West,Mumbai,Home Office,51380.42,1,51380.42,22601.64
ORD100172,2023-07-04,HomeSpeaker,Audio,East,Kolkata,Corporate,5256.26,2,10512.52,4684.31
ORD100173,2023-01-12,DroneX,Drones,North,Chandigarh,Consumer,69867.64,1,69867.64,20171.88
ORD100174,2023-01-08,AlphaPhone 11,Phones,North,Jaipur,Small Business,22630.06,2,45260.12,9518.92
ORD100175,2024-08-02,AlphaPhone X,Phones,East,Kolkata,Small Business,28341.32,1,28341.32,5050.62
ORD100176,2024-03-30,AlphaPhone 11,Phones,West,Mumbai,Consumer,28508.42,1,28508.42,11861.6
ORD100177,2023-02-24,GammaBook,Laptops,South,Hyderabad,Corporate,62574.29,1,62574.29,27964.67
ORD100178,2024-12-15,BetaPad Pro,Tablets,North,Jaipur,Home Office,22145.23,1,22145.23,8171.03
ORD100179,2024-04-09,4KTV,TVs,Central,Indore,Home Office,27074.61,1,27074.61,6485.58
ORD100180,2024-05-01,GammaBook,Laptops,South,Bengaluru,Corporate,66211.81,1,66211.81,26532.3
